Date,Baden-Württemberg,Bavaria,Berlin,Brandenburg,Bremen,Hamburg,Hesse,Lower Saxony,Mecklenburg-Vorpommern,North Rhine-Westphalia,Rhineland-Palatinate,Saarland,Saxony,Saxony-Anhalt,Schleswig-Holstein,Thuringia,"Germany, repatriatedc",Total infections,New cases,Total deaths,New deaths
24-Feb,,14,—,—,—,—,—,—,—,—,—,—,—,—,—,—,2,16,—,—,—
25-Feb,1,14,—,—,—,—,—,—,—,1,—,—,—,—,—,—,2,18,2,—,—
26-Feb,3,14,—,—,—,—,—,—,—,2,—,—,—,—,—,—,2,21,3,—,—
27-Feb,6,14,—,—,—,—,—,—,—,4,—,—,—,—,—,—,2,26,5,—,—
28-Feb,10,15,—,—,—,—,—,—,—,25,—,—,—,—,1,—,2,53,27,—,—
29-Feb,14,15,—,—,—,—,3,—,—,30,1,—,—,—,1,—,2,66,13,—,—
,-622,-747,-46,-37,-15,-56,-120,-171,-11,-472,-59,-41,-65,-18,-39,-25,,,,,
12-Apr,24078,32282,4567,1857,480,3742,5859,7602,605,24267,4734,2058,3600,1166,2118,1464,—,120479,2821,2673,129
,-649,-786,-50,-38,-15,-56,-123,-189,-11,-495,-64,-43,-67,-21,-41,-25,,,,,
13-Apr,24570,33015,4601,1880,486,3770,6114,7723,618,24883,4810,2079,3655,1193,2134,1485,—,123016,2537,2799,126
,-677,-820,-51,-38,-17,-56,-135,-201,-11,-518,-68,-44,-68,-24,-44,-27,,,,,
14-Apr,25040,33569,4668,1916,492,3808,6183,7885,619,25300,4880,2112,3751,1207,2164,1504,—,125098,2082,2969,170
,-711,-872,-56,-40,-20,-59,-147,-211,-11,-545,-70,-52,-70,-25,-49,-31,,,,,
15-Apr,25438,34294,4722,1950,500,3869,6347,8019,624,25835,5004,2145,3819,1223,2245,1550,—,127584,2486,3254,285
,-767,-954,-62,-42,-21,-67,-173,-224,-11,-607,-77,-58,-73,-26,-54,-38,,,,,
16-Apr,25881,35142,4848,2058,507,3953,6470,8188,634,26383,5087,2201,3955,1248,2294,1601,—,130450,2866,3569,315
,-802,-1049,-74,-54,-21,-80,-187,-248,-13,-663,-87,-71,-94,-26,-55,-45,,,,,
17-Apr,26543,36027,4945,2120,556,4005,6705,8442,634,27030,5211,2254,4048,1279,2349,1682,—,133830,3380,3868,299
,-872,-1137,-84,-60,-22,-84,-197,-274,-13,-726,-92,-76,-95,-28,-59,-49,,,,,
18-Apr,27258,36881,5066,2161,567,4118,6916,8649,645,28006,5324,2289,4140,1315,2387,1717,—,137439,3609,4110,242
,-919,-1198,-91,-62,-24,-90,-212,-281,-14,-791,-99,-86,-103,-29,-61,-50,,,,,
19-Apr,27883,37407,5159,2221,585,4167,7108,8797,651,28471,5432,2303,4190,1350,2417,1756,—,139897,2458,4294,184
,-968,-1256,-92,-66,-25,-91,-230,-288,-15,-814,-106,-91,-107,-30,-62,-53,,,,,
20-Apr,28253,37849,5196,2238,604,4185,7177,8900,653,28971,5523,2314,4229,1369,2426,1785,—,141672,1775,4404,110
,-982,-1286,-94,-66,-25,-91,-240,-291,-15,-857,-107,-91,-109,-30,-67,-53,,,,,
21-Apr,28712,38310,5237,2275,609,4204,7231,9098,655,29389,5561,2328,4253,1383,2414,1798,—,143457,1785,4598,194
,-1031,-1336,-97,-67,-25,-91,-251,-306,-15,-896,-116,-93,-117,-32,-70,-55,,,,,
22-Apr,28898,38814,5312,2389,624,4204,7380,9236,656,30185,5593,2367,4273,1395,2496,1872,—,145694 ,2237 ,4879 ,281 
,-1063,-1424,-105,-74,-26,91 ,-265,-328,-15,-964,-122,-97,-122,-33,-79,-71,,,,,
23-Apr,29443,39395,5324,2447,672,4286,7593,9391,659,30584,5643,2395,4327,1425,2530,1932,—,148046,2352,5094,215
,-1113,-1476,-105,-84,-27,113 ,-286,-340,-15,-999,-131,-99,-127,-34,-84,-61,,,,,
24-Apr,29792,39939,5459,2536,707,4358,7712,9544,661,31106,5731,2445,4377,1436,2557,2023,—,150383,2337,5321,227
,-1153,-1525,-112,-90,-27,-122,-296,-364,-16,-1052,-136,-105,-135,-35,-88,-65,,,,,
25-Apr,30169,40547,5525,2627,719,4400,7837,9691,667,31465,5767,2468,4406,1480,2612,2058,—,152438,2055,5500,179
,-1189,-1566,-113,-97,-27,-139,-305,-377,-16,-1084,-138,-107,-141,-35,-95,-71,,,,,
26-Apr,30761,40912,5600,2694,739,4429,7946,9785,673,31669,5835,2482,4428,1494,2630,2098,—,154175,1737,5640,140
,-1237,-1596,-123,-100,-27,-140,-315,-384,-16,-1096,-147,-107,-147,-36,-96,-73,,,,,
27-Apr,31043,41070,5638,2721,754,4475,7979,9847,674,31879,5879,2503,4458,1515,2638,2120,—,155193,1018,5750,110
,-1249,-1621,-125,-100,-27,-142,-320,-391,-16,-1131,-152,-121,-147,-36,-98,-74,,,,,
28-Apr,31196,41406,5669,2747,759,4505,8026,9926,675,32184,5928,2509,4490,1520,2653,2144,—,156337,1144,5913,163
,-1269,-1681,-127,-106,-27,-142,-333,-394,-17,-1171,-157,-123,-148,-39,-101,-78,,,,,
29-Apr,31336,41830,5734,2768,797,4525,8184,9972,687,32429,5982,2514,4509,1525,2679,2170,—,157641,1304,6115,202
,-1299,-1754,-137,-109,-29,-153,-346,-406,-17,-1200,-161,-129,-153,-39,-103,-80,,,,,
30-Apr,31609,42080,5827,2831,827,4562,8304,10067,690,32687,6029,2552,4561,1549,2690,2254,—,159119,1478,6288,173
,-1353,-1799,-147,-113,-29,-155,-353,-416,-17,-1219,-166,-131,-156,-43,-106,-85,,,,,
1-May,31919,42489,5887,2872,859,4604,8376,10141,693,33058,6086,2581,4592,1564,2714,2323,—,160758,1639,6481,193
,-1385,-1850,-149,-120,-30,-163,-360,-429,-18,-1261,-172,-135,-162,-44,-110,-93,,,,,
2-May,32146,42658,5943,2886,871,4609,8486,10246,695,33216,6099,2597,4617,1571,2728,2335,—,161703,945,6575,94
,-1402,-1885,-152,-122,-30,-163,-364,-451,-18,-1268,-173,-135,-163,-44,-112,-93,,,,,
3-May,32291,42792,5976,2905,875,4631,8524,10283,698,33428,6133,2605,4696,1576,2738,2345,—,162496,793,6649,74
,-1412,-1910,-154,-122,-30,-164,-370,-453,-18,-1287,-176,-138,-165,-44,-113,-93,,,,,
4-May,32411,42997,6010,2914,893,4636,8549,10325,699,33560,6150,2608,4702,1578,2788,2355,—,163175,679,6692,43
,-1421,-1926,-154,-122,-30,-166,-372,-456,-18,-1290,-177,-139,-167,-45,-113,-96,,,,,
5-May,32482,43162,6042,2940,895,4644,8585,10380,703,33728,6160,2618,4745,1585,2799,2392,—,163860,685,6831,139
,-1452,-1949,-154,-123,-31,-172,-381,-463,-19,-1332,-182,-139,-171,-46,-118,-99,,,,,
6-May,32576,43371,6092,2969,916,4664,8642,10453,711,33977,6191,2627,4784,1590,2815,2429,—,164807,947,6966,165
