,Area name,Area code,Area type,Reporting date,Daily change in deaths,Cumulative deaths
157,Northern Ireland,N92000002,Nation,2020-05-05,6.0,387
158,United Kingdom,K02000001,UK,2020-05-05,693.0,29427
159,England,E92000001,Nation,2020-05-05,656.0,26441
160,Wales,W92000004,Nation,2020-05-04,14.0,997
161,Scotland,S92000003,Nation,2020-05-04,12.0,1571
162,Northern Ireland,N92000002,Nation,2020-05-04,5.0,381
163,United Kingdom,K02000001,UK,2020-05-04,288.0,28734
164,England,E92000001,Nation,2020-05-04,257.0,25785
165,Wales,W92000004,Nation,2020-05-03,14.0,983
166,Scotland,S92000003,Nation,2020-05-03,44.0,1559
167,Northern Ireland,N92000002,Nation,2020-05-03,11.0,376
168,United Kingdom,K02000001,UK,2020-05-03,315.0,28446
169,England,E92000001,Nation,2020-05-03,246.0,25528
170,Wales,W92000004,Nation,2020-05-02,44.0,969
171,Scotland,S92000003,Nation,2020-05-02,40.0,1515
172,Northern Ireland,N92000002,Nation,2020-05-02,18.0,365
173,United Kingdom,K02000001,UK,2020-05-02,621.0,28131
174,England,E92000001,Nation,2020-05-02,519.0,25282
175,Wales,W92000004,Nation,2020-05-01,17.0,925
176,Scotland,S92000003,Nation,2020-05-01,60.0,1475
177,Northern Ireland,N92000002,Nation,2020-05-01,9.0,347
178,United Kingdom,K02000001,UK,2020-05-01,739.0,27510
179,England,E92000001,Nation,2020-05-01,653.0,24763
180,Wales,W92000004,Nation,2020-04-30,22.0,908
181,Scotland,S92000003,Nation,2020-04-30,83.0,1415
182,Northern Ireland,N92000002,Nation,2020-04-30,9.0,338
183,United Kingdom,K02000001,UK,2020-04-30,674.0,26771
184,England,E92000001,Nation,2020-04-30,560.0,24110
185,Wales,W92000004,Nation,2020-04-29,73.0,886
186,Scotland,S92000003,Nation,2020-04-29,70.0,1332
187,Northern Ireland,N92000002,Nation,2020-04-29,20.0,329
188,United Kingdom,K02000001,UK,2020-04-29,795.0,26097
189,England,E92000001,Nation,2020-04-29,632.0,23550
190,Wales,W92000004,Nation,2020-04-28,17.0,813
191,Scotland,S92000003,Nation,2020-04-28,13.0,1262
192,Northern Ireland,N92000002,Nation,2020-04-28,10.0,309
