Date,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO,TOTAL
2020-04-16,14,6,165,22,83,120,39,201,14,102,55,10,5,70,30,199,11,29,201,63,19,22,30,42,5,525,2,2084
2020-04-17,20,21,90,13,97,335,29,17,17,243,63,12,6,70,10,323,21,42,405,53,18,37,39,36,5,1273,1,3296
2020-04-18,7,22,88,25,136,315,40,147,43,165,56,18,9,14,31,187,21,73,194,45,18,21,23,13,13,1053,1,2778
2020-04-19,21,27,147,16,49,246,64,96,15,115,77,7,3,44,9,266,14,42,222,34,32,22,15,50,15,373,1,2022
2020-04-20,13,12,116,19,128,179,15,17,10,90,35,3,7,217,18,231,28,20,134,13,39,3,35,38,6,313,1,1740
2020-04-21,19,39,110,31,127,229,38,101,18,194,41,2,0,124,38,218,20,17,407,38,24,33,14,28,25,805,2,2742
2020-04-22,19,33,209,26,141,400,46,38,17,153,53,2,24,169,44,390,11,38,246,62,0,17,52,24,1,529,1,2745
2020-04-23,13,81,409,63,200,586,9,102,15,194,25,11,16,72,41,307,39,19,620,46,27,7,69,55,17,826,6,3875
2020-04-24,7,89,306,93,134,419,44,212,33,154,111,27,20,312,61,394,41,37,110,27,40,41,57,39,10,1086,7,3911
2020-04-25,24,88,441,41,137,546,8,46,20,118,62,4,6,166,52,508,34,22,546,44,38,56,70,26,9,2178,8,5298
2020-04-26,21,59,198,132,132,593,105,108,67,187,67,17,3,325,44,391,33,16,283,7,36,6,42,102,21,711,9,3715
2020-04-27,22,83,95,21,108,523,64,125,43,118,38,4,7,149,90,460,44,30,833,25,29,18,48,139,36,981,12,4145
2020-04-28,16,134,409,76,208,202,41,220,45,276,63,2,6,100,65,366,46,85,560,229,20,0,94,519,69,2345,37,6233
2020-04-29,37,180,464,98,112,426,83,374,44,386,109,9,29,267,116,470,59,78,365,91,20,27,70,90,57,2117,21,6199
2020-04-30,50,88,453,64,191,450,110,150,76,316,69,6,10,413,112,682,87,59,584,120,69,67,109,309,173,2540,27,7384
2020-05-01,83,181,469,41,273,139,123,225,27,299,108,6,18,360,108,458,65,41,713,69,83,83,90,-290,64,1676,27,5539
2020-05-02,66,146,339,66,175,309,59,191,17,235,88,5,13,368,135,811,77,46,380,26,69,66,47,242,84,800,55,4915
2020-05-03,105,69,621,295,251,70,115,104,25,187,95,6,4,193,50,498,42,23,593,29,51,72,24,173,129,598,21,4443
2020-05-04,75,97,630,251,168,2661,73,143,11,303,229,2,7,342,142,220,91,48,582,115,51,66,78,104,42,415,36,6982
2020-05-05,84,68,796,198,306,430,44,189,61,498,105,9,22,494,132,462,74,27,670,108,105,63,251,172,126,1866,48,7408
2020-05-06,126,97,1134,115,261,840,209,174,102,361,153,5,19,768,164,556,102,39,904,95,82,63,81,122,100,3800,72,10544
2020-05-07,71,164,856,153,227,1578,212,274,3,520,165,23,34,411,192,943,80,31,861,0,155,88,82,165,216,2075,71,9650
2020-05-08,163,166,628,123,291,1246,184,254,26,856,173,15,45,584,182,763,102,56,1585,179,124,104,311,123,224,1902,79,10488
2020-05-09,158,139,1198,171,356,745,134,170,16,834,180,20,38,499,126,883,45,75,1188,1,41,78,49,167,150,2581,115,10157
2020-05-10,112,86,674,120,384,813,106,187,24,545,114,16,17,330,185,805,54,50,133,10,39,88,34,57,183,1033,59,6258
2020-05-11,13,85,320,58,249,907,117,220,7,382,83,23,26,721,184,493,111,14,877,103,96,5,232,100,29,687,81,6223
2020-05-12,130,237,1249,239,397,813,180,268,15,586,115,20,59,990,252,541,169,57,547,333,62,116,109,204,232,1588,104,9612
2020-05-13,104,181,1648,95,344,744,213,314,110,689,298,25,69,1285,268,592,172,93,242,171,152,0,80,95,236,3378,97,11695
2020-05-14,46,211,1365,423,407,1921,224,412,235,938,217,22,61,1135,316,687,121,68,739,249,74,89,104,504,226,3189,150,14133
2020-05-15,45,240,1211,202,1174,1982,371,385,145,853,246,27,58,1159,378,621,180,76,520,1,108,89,594,230,374,4092,100,15461
2020-05-16,82,381,1285,204,186,736,353,397,47,900,278,29,65,826,324,2279,167,105,1614,218,125,117,39,116,267,2805,0,13945
2020-05-17,130,223,651,118,128,460,228,149,40,746,137,62,44,737,284,964,35,44,637,133,44,85,1,98,208,1162,217,7765
2020-05-18,237,215,585,71,438,2108,251,413,89,960,84,43,40,1266,439,642,153,74,4427,345,80,91,15,399,223,721,150,14559
2020-05-19,248,286,1219,287,2132,1749,234,536,99,916,282,29,64,828,514,1148,197,129,1140,313,370,106,48,238,401,2929,163,16605
2020-05-20,335,120,1572,239,184,2448,418,802,169,944,309,51,85,2634,538,1318,215,137,2567,264,86,79,1175,86,310,3864,167,21116
2020-05-21,286,479,1663,639,744,853,271,383,106,1154,310,53,97,1603,400,1351,222,199,1717,191,160,79,500,111,457,3880,229,18137
2020-05-22,240,386,1671,467,616,3160,406,642,189,1555,399,59,84,2165,644,1849,184,130,1500,348,115,160,445,848,188,3132,225,21807
2020-05-23,524,328,1764,436,443,549,303,398,91,2424,343,53,92,1428,626,1026,132,162,944,1,335,133,418,149,209,3687,0,16998
2020-05-24,293,584,1065,262,899,473,387,89,53,1595,330,165,101,690,315,973,160,113,3379,174,92,0,134,89,183,1603,161,14362
2020-05-25,341,468,415,231,305,590,292,358,27,1492,294,77,130,2551,193,607,170,124,1386,698,67,125,89,179,134,1464,105,12912
2020-05-26,280,376,1667,383,362,836,280,524,191,1867,554,86,150,2516,903,488,246,183,726,157,225,118,226,141,287,2392,162,16326
2020-05-27,470,522,1559,652,503,254,551,595,200,1834,495,76,165,1789,1290,1065,277,201,2374,2,369,277,263,356,177,3466,165,19947
2020-05-28,349,475,2638,533,893,546,539,719,195,2503,675,94,176,3461,923,794,260,273,2488,831,390,139,1186,628,244,6382,254,28588
2020-05-29,241,563,2763,317,954,574,422,700,420,2138,546,62,177,2164,879,1542,242,259,3067,939,250,201,609,530,306,5691,334,26890
2020-05-30,231,605,1651,844,709,9427,752,534,88,2019,398,71,151,563,851,1172,186,238,4467,2,241,176,399,250,343,5586,370,32324
2020-05-31,147,1065,818,289,766,667,306,253,117,658,834,79,72,102,300,1023,188,214,968,649,199,-1,90,257,194,2556,195,13005
2020-06-01,107,549,396,288,506,2015,730,379,291,1328,206,0,151,2053,533,450,387,148,1142,-87,230,218,164,461,234,1598,169,14646
2020-06-02,139,722,1421,621,2532,4179,746,1082,413,1549,269,79,181,3638,1164,608,322,263,2202,269,305,158,423,162,322,6999,138,30906
